Company,Country,Industry,DSRI,GMI,AQI,SGI,DEPI,SGAI,LVGI,TATA,Label
Microsoft 2015,USA,Software,1.204,1.417,1.052,1.275,0.3,0.488,1.424,0.2038,Legit
Descartes Systems,Canada,Software,0.719,1.139,1.116,1.777,0.744,0.765,0.97,0.0788,Legit
Winsome Diamonds,India,Jewellery,1.379,1.47,1.519,1.724,0.964,1.074,1.076,0.4869,Fraud
Akorn Inc,USA,Pharmaceuticals,1.748,1.607,0.947,1.489,1.04,0.597,1.215,0.3308,Fraud
SinoHub Inc,China,Technology,1.584,1.543,1.51,2.097,1.436,0.728,1.1,0.1014,Fraud
Volvo Group,Sweden,Automotive,0.932,1.122,1.058,1.254,1.183,0.71,0.744,-0.2,Legit
Equity Bank Kenya,Kenya,Banking,0.688,0.71,0.672,1.048,1.048,1.081,0.911,0.4153,Legit
Wipro Limited,India,IT Services,1.026,0.95,1.103,1.258,0.447,0.901,0.924,0.5,Legit
Allstate Corporation,USA,Insurance,0.885,1.021,0.677,1.699,1.21,0.404,1.457,0.3976,Legit
Demant AS,Denmark,Medical Devices,1.136,1.027,0.835,1.6,1.556,0.849,1.392,-0.2,Legit
DG Khan Cement,Pakistan,Construction,0.869,0.795,0.594,1.04,0.805,0.907,0.558,0.4168,Legit
Swedish Match,Sweden,Consumer Goods,0.949,1.735,1.418,1.183,0.731,1.016,1.034,0.0624,Legit
Longtop 2010,China,Financial Services,1.52,1.699,1.405,1.661,1.412,1.075,1.008,0.1355,Fraud
Abbott Pakistan,Pakistan,Pharmaceuticals,0.942,0.653,1.137,0.544,0.533,1.259,1.328,0.0131,Legit
Alphabet 2017,USA,Technology,1.24,0.3,1.57,1.203,1.18,0.523,1.58,-0.2,Legit
JD.com,China,E-commerce,1.629,1.305,1.268,1.346,0.769,1.136,0.902,-0.2,Legit
MicroStrategy,USA,Software,1.484,1.303,1.371,2.034,0.902,0.933,1.305,0.3496,Fraud
Interloop Limited,Pakistan,Textiles,1.39,1.064,0.673,0.3,1.056,1.25,0.988,0.2248,Legit
Toyota 2019,Japan,Automotive,0.3,1.476,0.94,1.221,1.363,1.158,1.257,-0.0709,Legit
Straumann Holding,Switzerland,Medical Devices,1.044,1.136,1.364,1.017,1.376,1.288,0.734,-0.0097,Legit
Vesttoo 2023,Israel,Insurance,2.021,1.254,1.302,2.401,0.822,0.538,1.12,-0.1012,Fraud
Cemtrex Inc,USA,Technology,1.739,1.028,1.564,1.611,1.172,1.143,0.801,-0.1986,Fraud
MTN irregular,Nigeria,Telecommunications,1.836,1.044,1.631,2.255,1.275,1.14,1.372,0.1329,Fraud
Maple Leaf Cement,Pakistan,Construction,1.234,0.675,1.574,1.076,1.154,1.168,0.481,0.0495,Legit
Unilever Nigeria,Nigeria,Consumer Goods,0.938,0.858,1.858,1.06,1.096,1.236,1.224,0.2862,Legit
Lantronix,USA,Networking,1.565,0.389,0.665,0.861,0.875,0.987,0.735,-0.0796,Legit
LyondellBasell,Netherlands,Chemicals,0.637,0.864,1.094,1.472,0.905,1.0,0.993,0.3034,Legit
Tongaat 2019,South Africa,Agriculture,1.509,1.294,1.977,1.807,1.398,1.203,1.263,-0.1617,Fraud
Heineken,Netherlands,Beverages,0.629,1.2,0.666,1.722,0.818,0.952,1.425,0.5,Legit
Azgard 2010,Pakistan,Textiles,1.49,1.693,1.64,2.385,1.253,0.858,0.507,0.337,Fraud
Mehul Choksi,India,Jewellery,1.559,1.568,1.507,1.611,1.192,1.097,1.092,0.0891,Fraud
Celanese Corporation,USA,Chemicals,1.005,0.806,0.791,1.138,0.886,0.792,0.971,-0.2,Legit
Dawood Hercules,Pakistan,Conglomerate,1.109,0.741,1.107,0.649,1.181,0.789,1.26,0.1309,Legit
Infosys,India,IT Services,0.943,1.198,1.072,1.017,1.175,1.381,1.026,0.3296,Legit
HelloFresh issues,Germany,Food & Beverages,1.545,1.595,1.956,1.363,1.532,1.21,1.373,0.1486,Fraud
Systems Ltd 2020,Pakistan,IT Services,0.652,1.433,0.863,1.403,1.538,0.853,0.829,0.3513,Legit
Commonwealth Bank,Australia,Banking,0.561,0.621,1.705,1.401,1.089,1.461,0.681,-0.2,Legit
HealthSouth 2000,USA,Healthcare,1.584,1.493,1.531,1.046,0.794,0.911,1.492,0.2073,Fraud
Gul Ahmed Textile,Pakistan,Textiles,1.481,1.081,1.088,0.7,0.702,1.204,0.73,-0.1011,Legit
GTBank Nigeria,Nigeria,Banking,0.562,0.817,0.787,1.578,1.042,0.942,0.514,-0.2,Legit
Satyam 2007,India,IT Services,1.788,1.457,1.3,2.081,1.554,1.419,1.451,0.1212,Fraud
African Bank,South Africa,Banking,1.43,0.721,1.668,1.284,0.869,1.054,1.991,-0.2,Fraud
Mowi ASA,Norway,Food & Beverages,0.362,1.398,1.423,0.999,1.21,1.439,0.788,-0.1746,Legit
Asana Inc,USA,Software,0.3,0.958,0.882,1.25,0.365,1.034,1.64,0.4765,Legit
Delivery Hero issue,Germany,Technology,1.407,1.028,1.453,2.501,1.491,1.219,1.71,0.3457,Fraud
Drake & Scull,UAE,Construction,2.146,1.04,1.541,1.908,1.592,0.786,1.0,-0.1809,Fraud
Splunk Inc,USA,Software,0.3,0.642,1.077,1.694,0.828,1.004,1.328,-0.1522,Legit
Kemira,Finland,Chemicals,0.916,0.899,1.482,0.3,1.378,0.927,1.3,-0.2,Legit
Coloplast,Denmark,Medical Devices,0.3,1.052,0.749,0.984,0.859,0.91,0.864,0.1498,Legit
Bristol-Myers Squibb,USA,Pharmaceuticals,0.931,0.793,1.064,0.717,0.844,0.909,0.802,0.0687,Legit
ZZZZ Best 1987,USA,Services,1.576,1.759,1.654,1.307,1.186,1.62,1.153,0.0317,Fraud
Reckitt Benckiser,UK,Consumer Goods,0.554,1.075,0.742,1.174,0.945,1.014,1.169,0.1919,Legit
NetSol Technologies,Pakistan,IT Services,0.931,0.333,0.702,1.492,1.25,0.552,1.396,0.2459,Legit
HBL Global,Pakistan,Banking,1.556,0.867,1.917,1.388,1.347,0.855,1.307,0.5,Fraud
Dewan Farooque 2008,Pakistan,Automotive,1.587,1.791,1.843,2.072,1.346,1.404,0.947,0.4869,Fraud
Evonik Industries,Germany,Chemicals,1.771,1.236,1.425,1.296,0.572,0.559,0.777,-0.0722,Legit
Pfizer Pakistan,Pakistan,Pharmaceuticals,1.003,0.918,1.402,1.029,0.758,0.3,1.753,-0.2,Legit
HBL Pakistan 2019,Pakistan,Banking,0.751,1.234,1.451,1.514,1.043,0.766,1.664,-0.2,Legit
Sino-Forest Corporation,Canada,Forestry,1.916,1.604,1.916,1.535,0.962,1.208,1.408,-0.1494,Fraud
Enron 1997,USA,Energy,1.763,1.262,1.598,2.224,1.415,1.628,1.58,0.2888,Fraud
Fanuc Corporation,Japan,Robotics,0.926,1.364,1.519,1.554,0.715,1.349,1.148,-0.1252,Legit
Hum Network fraud,Pakistan,Media,1.849,1.373,1.654,2.257,0.913,1.097,1.474,-0.0172,Fraud
LG Electronics,South Korea,Electronics,1.35,1.167,1.451,1.171,0.579,0.3,0.504,0.283,Legit
Primus Pharmaceuticals,USA,Pharmaceuticals,1.031,1.138,0.403,1.702,0.768,0.723,1.625,-0.0373,Legit
MTN Group,South Africa,Telecommunications,0.621,0.971,1.166,1.308,1.1,1.504,0.891,-0.0967,Legit
US Bancorp,USA,Banking,1.363,0.804,1.09,1.359,1.325,1.42,1.16,0.132,Legit
Engro Corp 2017,Pakistan,Conglomerate,1.426,0.796,0.807,0.84,0.816,1.161,1.002,0.5,Legit
Great-West Lifeco,Canada,Insurance,0.923,1.265,1.37,1.143,1.514,0.573,1.137,0.3501,Legit
Full Truck Alliance,China,Logistics,1.934,1.679,1.827,2.354,1.072,1.117,1.345,0.3174,Fraud
American Express,USA,Financial Services,0.798,0.838,1.761,1.174,1.118,0.539,0.548,0.1534,Legit
Zymeworks,Canada,Biotechnology,0.826,1.211,0.869,1.2,0.874,0.952,1.143,0.1775,Legit
Veeva Systems,USA,Software,0.402,0.793,1.356,0.3,1.048,1.003,1.278,-0.0294,Legit
Clover Health,USA,Healthcare Insurance,1.404,0.74,1.093,1.394,1.308,1.257,0.408,0.1383,Legit
Todos Life Sciences,Israel,Biotechnology,1.496,1.249,1.015,1.412,1.365,0.346,0.83,-0.0842,Fraud
ServiceNow,USA,Software,0.875,1.166,0.669,1.176,1.389,1.083,1.289,-0.0305,Legit
Monday.com,Israel,Software,0.783,0.852,0.604,1.655,1.018,1.193,0.877,-0.0768,Legit
Reliance Industries,India,Conglomerate,0.827,1.004,0.714,1.77,1.203,0.624,1.3,0.2398,Legit
ZST Digital Networks,China,Technology,1.153,1.135,1.36,1.879,1.811,1.029,1.145,0.5,Fraud
Toppr Technologies,India,Education,2.238,0.868,1.551,2.466,1.527,1.721,1.611,0.2424,Fraud
Agilysys Inc,USA,Software,0.92,0.832,0.922,1.613,0.798,0.827,0.438,-0.2,Legit
JPMorgan 2017,USA,Banking,0.832,0.626,0.586,1.162,1.099,0.3,0.383,0.0066,Legit
Bright Health,USA,Healthcare Insurance,1.225,0.824,1.132,1.26,0.946,1.32,1.05,0.5,Legit
HealthSouth 1999,USA,Healthcare,1.755,1.368,1.62,1.847,1.136,1.371,0.661,0.2543,Fraud
Vesttoo Insurance,Israel,Insurance,1.832,1.305,1.471,1.486,1.23,0.782,1.851,0.3104,Fraud
Etisalat (e&),UAE,Telecommunications,0.819,1.459,1.336,1.631,0.919,0.519,1.04,-0.1147,Legit
Workday Inc,USA,Software,1.143,1.446,1.321,1.382,1.169,1.256,1.374,0.2549,Legit
WorldCom 1999,USA,Telecommunications,1.334,1.843,1.056,2.32,1.015,0.652,1.193,0.0548,Fraud
Philips NV,Netherlands,Healthcare,0.636,0.753,0.595,1.356,1.122,0.994,0.603,0.313,Legit
Tokyo Electron,Japan,Semiconductors,1.648,0.693,1.537,0.742,1.666,0.842,1.353,-0.2,Legit
Nestle 2019,Switzerland,Food & Beverages,0.977,0.587,1.178,1.804,0.848,0.68,1.181,-0.2,Legit
BP PLC,UK,Oil & Gas,0.76,1.557,0.565,0.908,0.896,1.385,1.312,-0.2,Legit
Puda Coal,China,Coal Mining,1.63,1.028,1.832,1.997,1.302,0.597,1.979,0.1653,Fraud
Air Arabia fraud,UAE,Aviation,1.765,1.542,1.32,1.893,0.404,1.054,1.529,0.053,Fraud
Roche Holding,Switzerland,Pharmaceuticals,1.447,0.981,1.141,1.569,0.783,1.027,1.107,0.4239,Legit
Todos Medical,Israel,Medical Devices,2.409,0.839,1.232,1.512,1.19,1.217,1.824,0.062,Fraud
Petrobras clean,Brazil,Oil & Gas,0.476,0.926,0.962,1.106,0.869,0.677,0.795,-0.2,Legit
Shell PLC,UK,Oil & Gas,0.372,0.961,0.438,0.845,1.191,0.819,1.197,-0.127,Legit
African Bank 2014,South Africa,Banking,2.008,1.537,1.454,2.347,1.12,1.455,0.926,0.2568,Fraud
Nestle Nigeria,Nigeria,Food & Beverages,0.93,1.687,0.737,0.689,1.662,0.571,1.147,-0.2,Legit
Emerald Isle Exploration,Ireland,Oil & Gas,1.938,1.864,0.894,1.783,0.938,1.16,1.132,0.2539,Fraud
HBL Pakistan 2018,Pakistan,Banking,0.894,1.508,1.079,0.897,1.224,0.791,1.446,-0.2,Legit
Open Text,Canada,Software,0.443,0.96,1.045,1.515,0.695,0.591,1.145,-0.1275,Legit
Huawei issues,China,Technology,1.286,1.254,2.239,2.335,0.7,1.076,1.557,0.2566,Fraud
Fauji Akbar Portia,Pakistan,Oil & Gas,1.999,1.212,1.93,1.83,1.15,1.082,0.675,0.1373,Fraud
JPMorgan 2018,USA,Banking,0.547,1.364,1.144,1.292,0.898,0.3,0.733,0.1772,Legit
United Bank Africa,Nigeria,Banking,1.009,0.865,1.207,0.655,0.499,1.375,0.847,0.0645,Legit
Pinnacle Foods fraud,USA,Food & Beverages,1.59,1.552,1.463,1.803,1.812,0.767,1.33,-0.1922,Fraud
Hollinger 2003,USA,Media,1.826,1.223,2.186,2.343,1.29,1.287,1.15,-0.2,Fraud
Lernout and Hauspie,Belgium,Technology,2.246,1.669,1.856,2.727,0.747,0.495,1.725,0.1926,Fraud
Zscaler,USA,Cybersecurity,0.649,0.989,1.071,0.898,0.783,1.814,0.847,0.0763,Legit
Dollarama Inc,Canada,Retail,1.378,0.465,0.905,1.112,0.344,1.243,0.643,-0.1797,Legit
Temenos AG,Switzerland,Software,1.299,1.493,0.615,1.278,1.152,1.057,0.901,0.4307,Legit
Samsung 2016,South Korea,Electronics,0.841,1.249,0.805,1.424,0.824,0.996,0.855,0.2024,Legit
KCB Group,Kenya,Banking,0.747,0.316,1.241,2.055,1.294,0.807,1.255,-0.2,Legit
Nortel Networks,Canada,Telecommunications,1.659,1.571,1.414,1.239,0.975,1.103,1.603,-0.2,Fraud
Agrokor,Croatia,Food & Beverages,2.294,1.305,1.556,1.589,1.536,0.699,2.116,0.2788,Fraud
Boston Scientific,USA,Medical Devices,1.652,1.612,0.907,1.397,1.038,0.962,1.08,0.1888,Legit
Unum Group,USA,Insurance,1.179,1.021,1.195,1.277,1.161,1.272,1.759,-0.2,Legit
Bank Alfalah,Pakistan,Banking,1.125,0.948,1.441,0.806,0.3,1.199,0.96,0.289,Legit
Halma PLC,UK,Industrial,0.65,0.86,0.602,1.542,0.797,1.226,1.523,-0.1417,Legit
OHL Group,Spain,Construction,1.653,1.942,1.874,1.731,0.434,0.942,0.952,0.4288,Fraud
Nuvei Corporation,Canada,Fintech,1.6,1.008,0.3,1.456,0.727,1.229,0.882,-0.2,Legit
Relay Therapeutics,USA,Biotechnology,1.778,1.05,0.647,0.839,0.398,1.177,0.735,-0.0086,Legit
PepsiCo Inc,USA,Beverages,1.096,0.764,1.153,0.893,1.199,1.078,1.043,-0.2,Legit
Tripod Technology,Taiwan,Electronics,1.949,1.862,1.86,2.231,1.834,1.248,1.351,0.2786,Fraud
Azgard Nine,Pakistan,Textiles,1.266,1.316,1.291,1.398,1.062,1.112,1.949,-0.2,Fraud
GE Capital 2014,USA,Financial Services,1.251,0.472,1.02,1.325,1.192,0.824,1.023,0.0558,Fraud
Jaiprakash Associates,India,Construction,1.64,0.692,1.478,1.505,1.464,1.015,1.76,-0.2,Fraud
Erste Group issue,Austria,Banking,1.491,1.955,1.521,1.489,1.254,0.449,1.235,0.3836,Fraud
KASB Bank 2013,Pakistan,Banking,2.023,1.43,1.586,1.889,1.659,0.811,1.705,0.1424,Fraud
Era Infra,India,Construction,1.801,1.422,1.52,2.545,1.796,1.197,1.75,0.4447,Fraud
Chevron Corporation,USA,Oil & Gas,0.917,0.828,1.159,1.131,1.205,1.288,0.906,0.2089,Legit
Dangote Cement 2019,Nigeria,Construction,1.042,0.728,1.099,1.84,0.634,1.264,0.476,-0.2,Legit
PT Hanson International,Indonesia,Real Estate,2.111,1.287,2.553,1.549,0.837,1.444,1.458,-0.2,Fraud
Oatly Group,Sweden,Food & Beverages,1.915,1.374,1.59,1.689,0.615,1.563,1.503,0.2402,Fraud
Toyota Motor,Japan,Automotive,0.651,0.87,1.454,1.039,1.186,1.033,0.93,-0.0418,Legit
Meta Platforms,USA,Social Media,1.141,0.953,0.889,1.491,1.191,1.373,1.355,0.0499,Legit
Grupo Bimbo,Mexico,Food & Beverages,1.097,0.973,0.786,1.578,0.985,1.181,1.294,-0.2,Legit
SolarWinds 2020,USA,Software,1.754,1.984,1.706,2.318,0.82,1.345,1.538,-0.2,Fraud
Cochlear Limited,Australia,Medical Devices,0.717,0.76,0.57,1.176,0.917,0.397,0.863,-0.2,Legit
Hippo Holdings,USA,Insurance,1.104,0.567,1.136,1.118,1.178,0.909,1.154,-0.1937,Legit
Odebrecht SA,Brazil,Construction,1.279,0.977,1.6,1.307,1.629,1.215,2.405,0.3526,Fraud
Terra Luna,South Korea,Cryptocurrency,2.314,1.165,1.647,2.201,1.025,0.999,1.22,0.1747,Fraud
Autonomy 2010,UK,Software,1.534,0.731,1.83,1.565,1.653,1.106,1.684,-0.0223,Fraud
Getback 2018,Poland,Financial Services,1.26,1.352,1.436,1.871,1.18,1.383,1.9,-0.2,Fraud
Painted Pony Energy,Canada,Oil & Gas,1.579,0.737,1.529,2.034,1.733,1.242,1.162,0.3256,Fraud
Quebecor Inc,Canada,Telecommunications,0.939,0.641,0.794,0.923,0.782,1.416,1.189,-0.2,Legit
Napco Security,USA,Security,1.166,1.077,1.38,1.035,0.55,1.057,1.31,0.3128,Legit
NQ Mobile,China,Technology,2.376,1.264,1.631,2.388,1.368,0.706,1.26,0.3171,Fraud
Amgen Inc,USA,Biotechnology,0.856,0.534,1.26,1.316,1.242,1.493,0.769,-0.0862,Legit
TSMC 2016,Taiwan,Semiconductors,0.489,0.856,0.784,1.437,1.381,1.154,1.221,0.1199,Legit
Fortum Corporation,Finland,Utilities,1.286,0.435,0.86,0.951,0.6,0.879,1.486,0.0934,Legit
Freddie Mac,USA,Financial Services,1.023,1.134,1.649,1.198,1.231,1.132,1.587,-0.1001,Fraud
Byju's issues,India,Education,1.859,1.875,1.727,2.261,1.086,1.295,1.196,0.0981,Fraud
Equity Bank 2018,Kenya,Banking,0.993,0.876,1.099,1.243,1.264,1.075,1.157,-0.2,Legit
Leonardo SpA,Italy,Aerospace,1.315,1.424,1.229,1.379,0.608,1.726,1.049,0.1922,Legit
Evergrande 2021,China,Real Estate,1.575,1.384,1.273,2.558,1.186,1.028,1.584,0.1892,Fraud
Shin-Etsu Chemical,Japan,Chemicals,1.006,0.572,1.231,0.832,0.989,1.215,1.046,0.2071,Legit
Summit Bank Pakistan,Pakistan,Banking,1.196,1.578,1.757,1.82,1.051,0.872,1.356,0.4335,Fraud
Pakistan Cables,Pakistan,Industrial,1.472,1.134,0.968,0.39,1.082,1.048,1.31,0.5,Legit
HealthSouth 2001,USA,Healthcare,1.099,1.659,1.577,2.277,1.224,1.146,1.906,-0.2,Fraud
OGDC,Pakistan,Oil & Gas,0.407,1.042,0.752,1.67,0.999,1.15,0.909,-0.2,Legit
Habib Bank Limited,Pakistan,Banking,0.608,1.109,1.338,1.259,1.306,1.002,1.31,-0.2,Legit
Limelight Networks fraud,USA,Technology,1.691,1.528,1.43,1.546,1.037,0.957,1.491,0.4206,Fraud
Tesla Inc,USA,Electric Vehicles,1.205,1.235,1.099,1.385,1.688,0.543,0.874,-0.2,Legit
Bavarian Nordic,Denmark,Biotechnology,0.814,0.946,0.955,1.116,0.419,1.032,0.91,0.4234,Legit
Olympus 2009,Japan,Electronics,1.578,1.524,1.665,1.529,1.29,1.343,1.421,0.2166,Fraud
United Bank Limited,Pakistan,Banking,1.571,0.944,1.734,1.246,1.301,1.299,0.44,0.5,Legit
Luckin Coffee,China,Food & Beverages,2.127,1.638,1.766,3.353,1.039,0.796,1.557,0.5,Fraud
Akazoo Music,Greece,Technology,1.199,1.905,1.667,1.718,0.812,0.965,1.277,0.1984,Fraud
GreenTree Hospitality,China,Hospitality,1.248,1.486,0.745,1.18,1.051,1.007,1.05,-0.2,Fraud
OGDC 2018,Pakistan,Oil & Gas,1.221,1.119,0.708,1.275,1.037,0.529,0.992,0.4723,Legit
Atlas Copco,Sweden,Industrial,0.75,0.793,0.665,1.009,1.273,1.734,0.592,-0.1098,Legit
Rino International 2010,China,Industrial,2.182,1.294,1.202,2.765,1.188,0.608,0.873,0.2298,Fraud
Zurich Insurance,Switzerland,Insurance,1.045,1.084,1.346,0.878,0.756,0.647,1.394,0.4902,Legit
IGas Energy,UK,Oil & Gas,1.175,1.259,1.526,1.853,1.509,1.082,0.809,-0.2,Fraud
Mercedes-Benz Group,Germany,Automotive,0.71,1.325,1.081,1.896,0.965,0.872,0.862,-0.0703,Legit
Greenland Holdings,China,Real Estate,1.881,1.136,1.541,1.526,2.046,0.952,1.289,0.5,Fraud
Harvard Bioscience,USA,Medical Devices,0.838,1.302,0.8,0.919,0.686,0.535,0.654,-0.2,Legit
Lehman 2007,USA,Financial Services,1.627,1.982,1.487,2.008,0.9,1.311,1.358,0.5,Fraud
Metahero,Poland,Technology,2.158,1.669,1.224,2.059,1.134,1.437,1.399,0.011,Fraud
Astaldi Construction,Italy,Construction,1.506,1.507,1.378,1.206,1.031,0.923,1.662,0.5,Fraud
Diamyd Medical,Sweden,Biotechnology,1.279,1.148,1.208,2.148,1.103,0.747,1.669,-0.2,Fraud
Shimano Inc,Japan,Consumer Goods,0.978,0.692,0.674,1.106,1.249,1.132,0.961,-0.2,Legit
Zimmer Biomet,USA,Medical Devices,0.929,0.59,1.199,0.897,1.436,1.102,0.842,0.105,Legit
Blue Apron,USA,Food & Beverages,1.453,1.33,1.78,1.586,0.82,1.518,1.711,0.5,Fraud
Zenith Bank 2018,Nigeria,Banking,1.143,0.78,0.862,1.036,1.283,0.768,0.784,-0.2,Legit
Equinor ASA,Norway,Oil & Gas,1.387,1.23,0.572,1.187,1.032,0.447,0.662,0.1012,Legit
Dassault Aviation,France,Aerospace,1.06,0.44,0.571,1.609,0.845,1.065,0.953,0.3346,Legit
Appfire Technologies,USA,Software,1.101,1.355,1.096,0.938,1.223,0.74,0.369,0.4852,Legit
Kobe Steel,Japan,Steel,2.016,1.342,1.738,1.97,0.857,0.703,1.165,0.3459,Fraud
Polpharma,Poland,Pharmaceuticals,2.189,1.168,1.323,1.14,1.241,1.126,1.981,0.2723,Fraud
Dewan Farooque Motors,Pakistan,Automotive,1.35,1.557,1.522,1.38,1.217,1.385,1.592,0.2775,Fraud
Rite Aid Corporation,USA,Retail Pharmacy,1.7,0.946,1.066,1.541,0.98,1.016,1.292,-0.1045,Fraud
Procter & Gamble,USA,Consumer Goods,0.411,0.801,1.527,0.786,0.3,0.539,1.138,-0.0966,Legit
Standard Bank Group,South Africa,Banking,1.094,1.565,0.572,1.724,1.261,1.094,0.959,-0.1723,Legit
BHP Group,Australia,Mining,1.766,1.715,1.231,1.281,0.876,1.036,0.3,-0.1797,Legit
Unilever Pakistan,Pakistan,Consumer Goods,0.731,0.741,1.433,0.905,0.523,0.77,0.851,0.1143,Legit
BRF 2017,Brazil,Food & Beverages,1.88,1.115,1.568,1.265,1.726,0.739,1.155,-0.2,Fraud
Access Bank 2019,Nigeria,Banking,0.769,0.704,0.866,1.656,0.669,0.872,1.663,-0.2,Legit
L3Harris Technologies,USA,Defense,0.386,1.565,1.728,1.955,0.736,1.253,0.469,0.1656,Legit
Subhash Chandra Group,India,Media,1.85,1.806,1.876,2.016,0.955,0.387,1.223,0.2788,Fraud
Crazy Eddie 1986,USA,Retail,1.364,1.224,1.925,1.721,1.347,1.484,1.372,0.3416,Fraud
Cerberus fraud,USA,Private Equity,1.579,1.806,1.535,2.037,1.487,0.83,1.12,0.5,Fraud
Royal Ahold,Netherlands,Retail,1.835,1.121,1.722,1.503,1.063,0.669,1.679,-0.0203,Fraud
DAMAC issues,UAE,Real Estate,1.662,1.326,2.067,1.935,1.387,0.634,0.714,-0.0742,Fraud
TRG Pakistan,Pakistan,IT Services,0.818,1.44,0.344,1.132,1.292,0.917,0.89,0.1686,Legit
Countrywide Financial,USA,Financial Services,2.021,1.509,1.739,1.147,0.832,0.846,1.577,-0.2,Fraud
TSMC 2020,Taiwan,Semiconductors,0.778,1.412,0.781,1.837,0.508,1.213,0.921,-0.0932,Legit
Proterra Inc,USA,Electric Vehicles,1.35,1.301,1.008,1.724,1.242,1.274,1.213,0.5,Fraud
3M Company,USA,Diversified,0.478,1.499,1.165,1.268,1.494,0.921,1.422,-0.2,Legit
ConocoPhillips,USA,Oil & Gas,0.609,0.836,0.794,1.197,1.269,0.3,0.888,0.1184,Legit
Core Laboratories,USA,Oil Services,1.818,1.355,1.44,1.349,1.276,1.079,1.683,0.2542,Fraud
Crazy Eddie,USA,Retail Electronics,1.809,1.533,1.863,2.013,0.911,0.602,0.778,0.1587,Fraud
Kingfisher Airlines,India,Aviation,1.712,1.129,1.87,2.141,0.954,0.971,1.875,0.1543,Fraud
Aker Solutions,Norway,Oil Services,0.702,1.382,1.01,1.613,0.661,0.545,1.164,-0.2,Legit
Shire PLC,UK,Pharmaceuticals,1.043,1.042,1.25,1.279,1.288,0.686,0.539,0.177,Legit
Kimberly-Clark,USA,Consumer Goods,1.075,1.313,0.991,1.202,0.666,0.826,1.347,0.406,Legit
Ambev SA,Brazil,Beverages,0.911,0.62,1.221,1.146,0.816,0.567,1.09,-0.2,Legit
Greensill Capital,UK,Financial Services,2.155,1.389,1.374,1.913,0.904,0.845,1.399,-0.0588,Fraud
Dewa issues,UAE,Utilities,1.996,1.004,0.93,2.118,1.545,0.481,0.909,0.2398,Fraud
EOH Holdings,South Africa,IT Services,1.195,1.233,1.785,1.459,1.029,1.03,1.846,-0.0075,Fraud
Lanco Infratech,India,Construction,1.833,1.267,1.733,2.646,1.274,1.227,1.272,0.1675,Fraud
Ezubao 2015,China,Financial Services,2.043,1.166,1.851,2.614,1.208,1.122,1.765,0.141,Fraud
Hascol 2018,Pakistan,Oil & Gas,1.711,1.257,1.728,1.882,1.489,1.269,1.294,0.5,Fraud
Intel Corporation,USA,Semiconductors,0.789,1.339,0.719,1.418,0.887,0.614,1.016,-0.2,Legit
Baidu Inc,China,Technology,0.506,0.977,0.78,1.446,0.882,0.531,0.595,-0.2,Legit
GTBank 2018,Nigeria,Banking,1.504,1.045,1.019,0.979,1.177,0.777,0.966,0.5,Legit
E-House China,China,Real Estate,1.803,1.042,2.096,1.329,1.07,1.454,0.962,-0.2,Fraud
KT Corporation,South Korea,Telecommunications,1.014,0.997,1.42,1.108,1.046,1.313,0.972,0.0146,Legit
Pace Pakistan 2012,Pakistan,Real Estate,1.577,1.302,1.347,1.987,0.784,1.358,1.056,-0.0353,Fraud
AIG 2008,USA,Insurance,1.635,1.238,1.291,1.559,1.84,0.569,1.33,0.2412,Fraud
Quindell 2013,UK,Insurance Tech,1.793,1.417,1.718,2.557,1.743,0.887,1.246,0.0132,Fraud
Constellation Software,Canada,Software,0.784,0.847,0.909,1.206,0.785,1.054,0.612,-0.2,Legit
WorldCom 2000,USA,Telecommunications,1.313,1.302,1.802,0.963,1.29,1.197,1.163,-0.2,Fraud
InVivo Therapeutics,USA,Biotechnology,1.155,0.809,1.64,1.667,1.029,1.05,1.292,0.0575,Fraud
Shopify 2021,Canada,E-commerce,0.923,1.633,1.81,1.597,0.447,1.115,1.124,0.0152,Legit
SolarWorld,Germany,Renewable Energy,1.58,1.463,1.55,2.216,0.781,0.897,1.464,0.2339,Fraud
Sanofi Pakistan,Pakistan,Pharmaceuticals,1.391,1.44,0.959,0.901,1.332,1.218,0.878,0.3974,Legit
Alaska Communications,USA,Telecommunications,1.053,0.989,0.726,1.68,0.664,1.168,1.141,0.5,Legit
HSBC Holdings,UK,Banking,0.922,0.835,0.666,1.089,1.706,0.691,1.246,0.1432,Legit
America Movil,Mexico,Telecommunications,1.257,0.723,1.3,0.877,0.794,0.693,0.888,-0.2,Legit
Braskem fraud,Brazil,Chemicals,1.481,1.256,1.064,2.146,1.43,1.028,1.359,-0.2,Fraud
OSI Systems,USA,Security,1.096,1.18,1.004,1.075,1.106,1.402,0.99,-0.2,Legit
MTS Allstream,Canada,Telecommunications,0.586,0.774,1.293,1.589,1.011,0.913,1.409,-0.0552,Legit
General Dynamics,USA,Defense,0.787,0.963,1.163,0.639,0.503,1.304,0.784,0.5,Legit
Lucira Health,USA,Biotechnology,1.755,1.456,1.441,1.85,0.962,1.519,1.004,0.4586,Fraud
Banorte,Mexico,Banking,1.261,0.66,1.043,1.451,1.135,0.941,1.291,-0.2,Legit
Samsung Electronics,South Korea,Electronics,1.275,1.318,0.8,1.014,1.051,0.855,0.3,0.1244,Legit
EOH 2019,South Africa,IT Services,1.771,1.195,1.813,2.243,1.077,1.457,1.048,0.4249,Fraud
